number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
63,0.43624432981204747,2026-06-12 14:30:29.224224,2026-06-12 14:30:36.760543,0 days 00:00:07.536319,0.8848200292241498,0.03580641074195246,9,33.61643411143455,0.552595484312981,0.009981420130108196,0.5396519421862873,0.043018924527827455,COMPLETE
64,0.4381193870375884,2026-06-12 14:30:36.760603,2026-06-12 14:30:45.764206,0 days 00:00:09.003603,0.9596107730401602,0.0438839414489163,9,19.729589627205545,0.1900322240245848,0.017065105162582687,0.5190352697105605,0.042896379172756065,COMPLETE
65,0.4355233906555466,2026-06-12 14:30:45.764266,2026-06-12 14:30:55.464363,0 days 00:00:09.700097,0.8550154631475512,0.02870350191669709,8,23.826259133491803,3.4516431303331565,0.03593355032396933,0.5952128663463557,0.04402532588167122,COMPLETE
66,0.4357451858711194,2026-06-12 14:30:55.464427,2026-06-12 14:31:04.926881,0 days 00:00:09.462454,0.851806732565769,0.022501638043601783,8,24.2173609888594,3.3841307615421705,0.0625844311455333,0.6050435404748806,0.042776042102010456,COMPLETE
67,0.4363416157825881,2026-06-12 14:31:04.926939,2026-06-12 14:31:14.944472,0 days 00:00:10.017533,0.8187698577906506,0.02273161778317246,8,23.328443743023143,3.462571655852603,0.10196109464679971,0.6600367819019447,0.04174102445745167,COMPLETE
68,0.4353511304157621,2026-06-12 14:31:14.944526,2026-06-12 14:31:23.412988,0 days 00:00:08.468462,0.7078755907385725,0.014255776230691193,8,34.82980311280324,7.300066583778102,0.06289472765835125,0.5985179407833968,0.0435349860770495,COMPLETE
69,0.4355995702800633,2026-06-12 14:31:23.413043,2026-06-12 14:31:31.978901,0 days 00:00:08.565858,0.7122348278661337,0.012883877646970009,8,34.69182982608312,7.573724932568306,0.0674206019512921,0.5935709321357427,0.04372502468309821,COMPLETE
70,0.4363706535359652,2026-06-12 14:31:31.978956,2026-06-12 14:31:40.893671,0 days 00:00:08.914715,0.7003768656107884,0.014127142126768544,8,33.68013588724827,8.86434076556274,0.3848377929029421,0.6309074054534191,0.0434850755530281,COMPLETE
71,0.4362786628714974,2026-06-12 14:31:40.893726,2026-06-12 14:31:49.321673,0 days 00:00:08.427947,0.6158128359823726,0.011989264872160052,8,36.25684016953948,5.001379477200461,0.06806825117208273,0.5951957932508539,0.04325779371855157,COMPLETE
72,0.4364962117885772,2026-06-12 14:31:49.321739,2026-06-12 14:31:59.011493,0 days 00:00:09.689754,0.6433092317646268,0.013858936340779716,8,27.63016096602068,4.249838308064072,0.05486281391801726,0.6131274375565761,0.043043409668494265,COMPLETE
73,0.4367248756873029,2026-06-12 14:31:59.011546,2026-06-12 14:32:10.029159,0 days 00:00:11.017613,0.5681196509830377,0.01010656241261635,8,22.90242479846107,7.311290082931247,0.15102055784242396,0.648733592182876,0.04326976450823732,COMPLETE
74,0.4356482871688644,2026-06-12 14:32:10.029220,2026-06-12 14:32:16.881138,0 days 00:00:06.851918,0.7253048800138753,0.017028392691395507,8,43.90035562950906,3.1118950787532436,0.033698251812731596,0.5699780574383984,0.04293130382231434,COMPLETE
75,0.43585072526953195,2026-06-12 14:32:16.881196,2026-06-12 14:32:23.197413,0 days 00:00:06.316217,0.7276185590265365,0.01643015499273714,7,41.641319572715105,2.343178913072144,0.03358287966921082,0.5749197742200286,0.04252983672413602,COMPLETE
76,0.43543354366846126,2026-06-12 14:32:23.197465,2026-06-12 14:32:30.879683,0 days 00:00:07.682218,0.7187943403411209,0.010811609054717739,8,45.224834876951014,7.063345544606989,0.11239990345261194,0.5927116371724883,0.04372090481121629,COMPLETE
77,0.4351724237168667,2026-06-12 14:32:30.879739,2026-06-12 14:32:38.534134,0 days 00:00:07.654395,0.7121664825226076,0.01149070971227759,8,44.66958203871956,7.275871995577819,0.11356118184648713,0.5935538578790258,0.044064846750883895,COMPLETE
78,0.43566646325876474,2026-06-12 14:32:38.534188,2026-06-12 14:32:46.604370,0 days 00:00:08.070182,0.6966739955311098,0.010436663194674525,7,39.06953873812289,7.8561927303504895,0.10424416267895062,0.5933412687063994,0.04336730667349748,COMPLETE
79,0.43588715408582734,2026-06-12 14:32:46.604426,2026-06-12 14:32:56.461629,0 days 00:00:09.857203,0.6563360600960861,0.007148814459688615,8,47.52988240076879,6.314132689160271,0.19129450298344042,0.6868631792066684,0.0431450438507632,COMPLETE
